Simulator Program
=================

Uploading Configuration Files

Uploading Meta Data Files

=================
Begin Simulation

Time:  0.031501, System Start
Time:  0.043235, OS: Begin PCB Creation
Time:  0.053783, OS: All processes now set in New state
Time:  0.061281, OS: All processes now set in Ready state
Time:  0.071857, OS: Discovered scheduling type: SRTF-P
Time:  0.080463, OS: Process 1 selected with 916 ms remaining
Time:  0.087736, OS: Process 1 set in RUNNING state
Time:  0.093164, OS: Process 1 printer output start
Time:  0.101592, OS: Process 1 set in BLOCKED state
Time:  0.110159, OS: Process 2 selected with 1976 ms remaining
Time:  0.118276, OS: Process 2 set in RUNNING state
Time:  0.130727, OS: Process 2 run operation start
Time:  0.141055, OS: Process 2 run cycle complete
Time:  0.148619, OS: Process 2 set in READY state
Time:  0.158616, OS: Process 2 selected with 1970 ms remaining
#
#
#
#
Time:  0.168254, OS: Interrupt by Process 1
#
#
#
#
#Time:  0.168777, OS: Process 2 set in RUNNING state
Time:  0.176644, OS: Process 1 printer IO end
Time:  0.183622, OS: Process 2 run operation start
Time:  0.193486, OS: Process 1 set in READY state
Time:  0.207207, OS: Process 2 run cycle complete
Time:  0.215618, OS: Process 2 set in READY state
Time:  0.225967, OS: Process 1 selected with 858 ms remaining
Time:  0.233125, OS: Process 1 set in RUNNING state
Time:  0.239023, OS: Process 1 run operation start
Time:  0.250707, OS: Process 1 run cycle complete
Time:  0.259519, OS: Process 1 set in READY state
Time:  0.268095, OS: Process 1 selected with 852 ms remaining
Time:  0.276834, OS: Process 1 set in RUNNING state
Time:  0.283224, OS: Process 1 run operation start
Time:  0.296551, OS: Process 1 run cycle complete
Time:  0.306370, OS: Process 1 set in READY state
Time:  0.314411, OS: Process 1 selected with 846 ms remaining
Time:  0.325800, OS: Process 1 set in RUNNING state
Time:  0.334985, OS: Process 1 run operation start
Time:  0.344305, OS: Process 1 run cycle complete
Time:  0.350984, OS: Process 1 set in READY state
Time:  0.357846, OS: Process 1 selected with 840 ms remaining
Time:  0.368292, OS: Process 1 set in RUNNING state
Time:  0.375638, OS: Process 1 run operation start
Time:  0.383702, OS: Process 1 run cycle complete
Time:  0.391198, OS: Process 1 set in READY state
Time:  0.403187, OS: Process 1 selected with 834 ms remaining
Time:  0.412818, OS: Process 1 set in RUNNING state
Time:  0.422367, OS: Process 1 run operation start
Time:  0.434193, OS: Process 1 run cycle complete
Time:  0.442731, OS: Process 1 set in READY state
Time:  0.453111, OS: Process 1 selected with 828 ms remaining
Time:  0.462547, OS: Process 1 set in RUNNING state
Time:  0.471267, OS: Process 1 run operation start
Time:  0.488037, OS: Process 1 run cycle complete
Time:  0.496630, OS: Process 1 set in READY state
Time:  0.507784, OS: Process 1 selected with 822 ms remaining
Time:  0.520259, OS: Process 1 set in RUNNING state
Time:  0.527889, OS: Process 1 run operation start
Time:  0.537509, OS: Process 1 run cycle complete
Time:  0.543351, OS: Process 1 set in READY state
Time:  0.551821, OS: Process 1 selected with 816 ms remaining
Time:  0.561335, OS: Process 1 set in RUNNING state
Time:  0.570577, OS: Process 1 run operation start
Time:  0.583303, OS: Process 1 run cycle complete
Time:  0.594797, OS: Process 1 set in READY state
Time:  0.604966, OS: Process 1 selected with 810 ms remaining
Time:  0.612670, OS: Process 1 set in RUNNING state
Time:  0.619792, OS: Process 1 run operation start
Time:  0.629771, OS: Process 1 run cycle complete
Time:  0.638991, OS: Process 1 set in READY state
Time:  0.646763, OS: Process 1 selected with 804 ms remaining
Time:  0.654001, OS: Process 1 set in RUNNING state
Time:  0.662279, OS: Process 1 run operation start
Time:  0.673979, OS: Process 1 run operation end
Time:  0.683236, OS: Process 1 set in READY state
Time:  0.691288, OS: Process 1 selected with 798 ms remaining
Time:  0.700027, OS: Process 1 set in RUNNING state
Time:  0.708383, OS: Process 1 printer output start
Time:  0.716660, OS: Process 1 set in BLOCKED state
Time:  0.723110, OS: Process 2 selected with 1964 ms remaining
Time:  0.732524, OS: Process 2 set in RUNNING state
Time:  0.742047, OS: Process 2 run operation start
Time:  0.752310, OS: Process 2 run cycle complete
Time:  0.760798, OS: Process 2 set in READY state
Time:  0.771949, OS: Process 2 selected with 1958 ms remaining
Time:  0.779004, OS: Process 2 set in RUNNING state
Time:  0.786596, OS: Process 2 run operation start
Time:  0.797389, OS: Process 2 run cycle complete
Time:  0.805304, OS: Process 2 set in READY state
Time:  0.813711, OS: Process 2 selected with 1952 ms remaining
Time:  0.821711, OS: Process 2 set in RUNNING state
Time:  0.830655, OS: Process 2 run operation start
Time:  0.843287, OS: Process 2 run cycle complete
Time:  0.851764, OS: Process 2 set in READY state
Time:  0.860190, OS: Process 2 selected with 1946 ms remaining
Time:  0.868051, OS: Process 2 set in RUNNING state
Time:  0.877769, OS: Process 2 run operation start
Time:  0.891610, OS: Process 2 run cycle complete
Time:  0.900651, OS: Process 2 set in READY state
Time:  0.908632, OS: Process 2 selected with 1940 ms remaining
Time:  0.917027, OS: Process 2 set in RUNNING state
Time:  0.924616, OS: Process 2 run operation start
Time:  0.939977, OS: Process 2 run cycle complete
Time:  0.949792, OS: Process 2 set in READY state
Time:  0.958839, OS: Process 2 selected with 1934 ms remaining
Time:  0.967110, OS: Process 2 set in RUNNING state
Time:  0.975045, OS: Process 2 run operation start
Time:  0.983471, OS: Process 2 run cycle complete
Time:  0.989266, OS: Process 2 set in READY state
Time:  0.997117, OS: Process 2 selected with 1928 ms remaining
Time:  1.007204, OS: Process 2 set in RUNNING state
Time:  1.014326, OS: Process 2 run operation start
Time:  1.027259, OS: Process 2 run cycle complete
Time:  1.036146, OS: Process 2 set in READY state
Time:  1.043413, OS: Process 2 selected with 1922 ms remaining
#
#
#
#
Time:  1.045159, OS: Interrupt by Process 1
#
#
#
#
#Time:  1.053075, OS: Process 2 set in RUNNING state
Time:  1.060155, OS: Process 1 printer IO end
Time:  1.067451, OS: Process 2 run operation start
Time:  1.074344, OS: Process 1 set in READY state
Time:  1.084864, OS: Process 2 run cycle complete
Time:  1.092582, OS: Process 2 set in READY state
Time:  1.101611, OS: Process 1 selected with 476 ms remaining
Time:  1.112909, OS: Process 1 set in RUNNING state
Time:  1.122097, OS: Process 1 harddrive input start
Time:  1.129567, OS: Process 1 set in BLOCKED state
Time:  1.141467, OS: Process 2 selected with 1916 ms remaining
Time:  1.154462, OS: Process 2 set in RUNNING state
Time:  1.160487, OS: Process 2 run operation start
Time:  1.171692, OS: Process 2 run cycle complete
Time:  1.180075, OS: Process 2 set in READY state
Time:  1.191075, OS: Process 2 selected with 1910 ms remaining
Time:  1.201002, OS: Process 2 set in RUNNING state
Time:  1.210904, OS: Process 2 run operation start
Time:  1.223401, OS: Process 2 run cycle complete
Time:  1.233741, OS: Process 2 set in READY state
Time:  1.242411, OS: Process 2 selected with 1904 ms remaining
Time:  1.251789, OS: Process 2 set in RUNNING state
